admi_nm,zone_type,demand_index_100,resident_score,inflow_score,trend_score,inc_per_cap,card_per_cap,age3040_ratio,econ_ratio,stay2yr_ratio,avg_inc,avg_card,high_ratio,avg_dist,inc_per_cap_chg,card_per_cap_chg,avg_inc_chg,avg_card_chg
판교동,즉시 확장 구역,81.09,0.8570307701319142,0.7450650572252329,0.7942271790523071,540.7470048425793,331.6591778769755,0.39178020622988474,0.9491381421273528,0.6851278826773262,6173.744130716767,4273.3218225552955,0.5311899285827256,17192.55839359516,0.02596815330898468,0.093214661242262,0.060719091306247176,0.07353539562702228
백현동,즉시 확장 구역,78.64,0.7898406597889778,0.7350948319246042,0.8549688675356952,522.3727546233472,317.42966157345535,0.3720632302420371,0.9469118185900398,0.6730446745258244,6075.937068023985,3932.717518149444,0.5013999824343582,19892.45995258039,0.028353191261431737,0.07771101346697361,0.09179015696873377,0.1955647277370233
수내2동,안정 수요 구역,76.58,0.8048845981605159,0.9623549083659504,0.3734486434364642,532.5717686671647,320.62070693009343,0.3842198720045579,0.9379352073961166,0.6663098240637889,7497.743366862015,4446.211484119833,0.6710087664843223,20710.497429724506,0.021170927920804706,0.03592378161061516,-0.06412648161757781,-0.23732229571616012
정자1동,즉시 확장 구역,72.59,0.7596626158486808,0.7286982224666566,0.6371850279673086,510.37146443488496,315.1406037547004,0.3900065759396526,0.9331311279348065,0.6314407403781594,6078.944121859687,4507.43465944735,0.48711112945633983,16074.017386953285,0.029021649260950428,0.05244291597111661,0.017572711615738427,-0.21004609397647692
삼평동,즉시 확장 구역,70.91,0.8009180644811347,0.5426603149768172,0.7292419191777787,519.5259313610076,289.6901595788144,0.43411583957808914,0.9475573978395819,0.6524576264093193,5838.342934338444,3516.417409955968,0.49371799713047404,11859.44711035793,0.02927689360331409,0.05870197484253401,0.0537454995665173,-0.02817886220275232
운중동,안정 수요 구역,70.06,0.9094683216393997,0.6747258167745952,0.21745261743442465,556.3054237869,345.38277446567133,0.4404023790660692,0.9544100836982801,0.5711814072179595,5534.7466064333275,3947.714543483166,0.48575230120942164,18700.356810716217,0.00389789170247807,0.04043910552692507,-0.017296542362604885,-0.03730269215830885
정자동,즉시 확장 구역,67.62,0.7596626158486808,0.5202887219853963,0.7011611861143889,510.37146443488496,315.1406037547004,0.3900065759396526,0.9331311279348065,0.6314407403781594,5346.762389827746,3106.8367799381394,0.4117844043661047,17106.828413508778,0.029021649260950428,0.05244291597111661,0.04714360152659017,-0.005588349521387728
수내1동,즉시 확장 구역,67.41,0.8048845981605159,0.5691888839726095,0.5045197226441086,532.5717686671647,320.62070693009343,0.3842198720045579,0.9379352073961166,0.6663098240637889,5409.5075495772135,3670.109761003697,0.451450735055037,15289.596162660238,0.021170927920804706,0.03592378161061516,0.026326601966177147,0.04465929787802162
정자2동,즉시 확장 구역,66.97,0.7596626158486808,0.46880879791501967,0.7459615922185615,510.37146443488496,315.1406037547004,0.3900065759396526,0.9331311279348065,0.6314407403781594,4890.2963718573965,2776.7204167518184,0.4028167693411131,18199.158001566484,0.029021649260950428,0.05244291597111661,0.03645835688198555,0.30896917045093963
이매2동,즉시 확장 구역,66.91,0.6643725201806148,0.6734707924174942,0.674596753280084,476.59032075626976,267.6338025343628,0.36886479771873676,0.9452228888411617,0.6826280656295918,6014.12652412691,3555.4648708543236,0.5254956039153235,18233.3352693676,0.023046544003092286,0.04677484977915091,0.17764873675631615,-0.03081703341483291
고등동,즉시 확장 구역,66.31,0.7209433023429709,0.5680754195197021,0.6612274659844398,439.0966261437474,281.4743490042178,0.47130489099283523,0.9636524468629699,0.5605642676518715,4873.284619157274,4076.663925105456,0.4046690707022487,15919.362259650077,0.018119045576757736,0.06839429359856333,0.10951109046568339,0.1336735258678316
정자3동,즉시 확장 구역,66.31,0.7596626158486808,0.5118543967099333,0.6487333507055159,510.37146443488496,315.1406037547004,0.3900065759396526,0.9331311279348065,0.6314407403781594,5101.0570826653875,3040.075182781739,0.4450084659057512,17287.760273186952,0.029021649260950428,0.05244291597111661,-0.008899034500033544,0.0005184943786117705
수내3동,안정 수요 구역,65.61,0.8048845981605159,0.5745520372533545,0.4064410003278036,532.5717686671647,320.62070693009343,0.3842198720045579,0.9379352073961166,0.6663098240637889,5577.965354189834,3576.0540694710135,0.41822302467805655,16290.921507642128,0.021170927920804706,0.03592378161061516,-0.028962133738107597,-0.21443730668570074
서현1동,즉시 확장 구역,60.87,0.6919578564216569,0.5459936266462968,0.4944377868201652,485.6913019970037,286.85324106917267,0.3649622390023668,0.9433078372272752,0.6701721072028808,5270.870407618408,3423.4695164944596,0.44594602403713207,16169.752687172198,0.017963812954611785,0.04481931036402069,0.039567065632374554,0.04027260433699052
시흥동,즉시 확장 구역,59.87,0.6072316978343043,0.4102062990359738,0.8601349697349954,433.4177356534007,278.73954537064816,0.4392827218065378,0.9423082352872855,0.4213238635067387,5222.8391887636735,3315.7276188070223,0.41475818040968043,9381.748681856097,0.049221716929121126,0.1760949819485151,0.062007584074106344,0.016089126661981354
이매1동,안정 수요 구역,58.99,0.6691978124246567,0.5764235267873932,0.41165500954609097,493.32338695111326,264.5964897326649,0.34183105089014837,0.9484791259703699,0.7187243381834205,5319.458737973871,3377.5332561420364,0.45134472422428035,18024.09379875712,0.020828779075964098,0.021403956618488536,-0.03335034749145073,0.1572609912095139
구미1동,즉시 확장 구역,58.34,0.5744689704551427,0.4905531750406035,0.7451540412513541,440.7446854181804,252.71585434933922,0.35278441484202006,0.9406878558033317,0.6634583552536314,5010.3590134388505,2996.3776701056227,0.42889481047911016,17007.587560379543,0.022736574966528443,0.06427083232213497,0.09299834156198176,0.3873559120617944
서현2동,안정 수요 구역,57.36,0.6938979780076848,0.46128192110502464,0.44136715603736565,487.48531982245953,287.463570343937,0.36244769060628657,0.9427872560962727,0.6762975980846057,4932.058627268134,3085.7453280329314,0.40319261823735075,15537.068940991536,0.018331552264919528,0.04641675072843417,-0.046952315755353774,0.1431598768826786
구미동,즉시 확장 구역,56.33,0.5786202309037534,0.4829618333449584,0.6455208246980958,442.07670524688245,253.7467013818433,0.35361668038641575,0.9408539315094073,0.6638974058548618,4706.02887607653,3049.6350292955585,0.39187366397286255,18330.70596414044,0.022812678902223632,0.06501136609356732,0.05451417678981153,-0.0293598972368264
금곡동,안정 수요 구역,56.24,0.6327276608160091,0.5508094573824001,0.40415944140685395,465.8398041489563,271.9822784602299,0.36036544355082245,0.933909722548868,0.6715428741604672,5202.565032317106,3255.3137060810895,0.4439393176814142,17896.952385409186,0.02305855657445699,0.014301676967913485,-0.02000000000000007,-0.027722772277227664
위례동,안정 수요 구역,53.73,0.5800396030755666,0.5202561822540583,0.4558286456629063,434.5021090133518,243.26585944365218,0.40922166840689767,0.9373548076611047,0.5909681455870616,4963.027485438098,3387.39087304172,0.41349250331164267,16859.21174485828,0.01705464585877847,0.04789378872661354,0.015367330293857631,-0.023715907953516448
분당동,안정 수요 구역,51.25,0.5725466137556667,0.5006348634689541,0.38011876229072916,443.54307078810456,249.33045014949235,0.3392301001392856,0.9434713687485766,0.6915781769177627,4746.219519617424,3214.552329572281,0.37313350434561166,18616.015168146343,0.027471255350196358,-0.007262930936717399,-0.06059113882723002,-0.057729192305088606
야탑2동,즉시 확장 구역,49.28,0.5134996313347452,0.46510824263199885,0.4826030880906839,415.2854405160955,218.18062577386306,0.3606722044906843,0.9432720700165557,0.6836277801766578,4984.324527542581,3220.581540423008,0.3968577698942862,14822.580417081868,0.02194978784399677,0.034970761086964154,0.040669483781951114,-0.21324840185759228
신촌동,안정 수요 구역,48.86,0.4243602029057148,0.64839550731704,0.4095825359638099,385.9499485741634,229.5805021457308,0.37870110186239664,0.9131602695232495,0.5258352980063784,4280.556962255084,4804.635308096241,0.3835564498880115,19148.010049584867,-0.0027363880206133406,0.19239316905801612,-0.05249679897567223,1.1144369345206167
야탑1동,성장 잠재 구역,47.01,0.5134996313347452,0.3626253285761638,0.522614527702236,415.2854405160955,218.18062577386306,0.3606722044906843,0.9432720700165557,0.6836277801766578,4423.485968068907,2907.065638554937,0.3481167258173335,14006.762232566216,0.02194978784399677,0.034970761086964154,0.042563665544009206,0.005245112366082986
도촌동,안정 수요 구역,46.22,0.5382405433314565,0.3867563125640387,0.3850859340346106,401.1737292357309,220.0891931204962,0.3787114756175989,0.9530907232456549,0.7106685376036498,4659.743483072804,2998.8245045730105,0.3553128067998351,13741.32363799352,0.0201117976728558,0.019293533284801587,0.01534132304037493,-0.15174934627376047
중앙동,성장 잠재 구역,45.62,0.39970537200931877,0.34976903899316925,0.756896157999291,370.65908159727655,194.15272469966555,0.3881347948009462,0.9286851362031784,0.572548857095763,4300.958792113944,2469.662344355391,0.31188463716931697,17410.949835492233,0.03154873333804422,0.04970794213685946,0.061729663383681875,0.1463081568672707
야탑3동,성장 잠재 구역,45.3,0.5134996313347452,0.2866727135806758,0.5512109500013633,415.2854405160955,218.18062577386306,0.3606722044906843,0.9432720700165557,0.6836277801766578,4243.544655252701,2465.7383541180916,0.3161925195001325,13670.133581464539,0.02194978784399677,0.034970761086964154,0.042919806649607845,0.1668501984015012
금광1동,성장 잠재 구역,41.05,0.37447588391121706,0.2839783945044644,0.6902367425958011,346.83369801627526,186.61186234258832,0.3864865124167997,0.9423449057562235,0.5671913649479199,4022.683883071793,2329.1993983839625,0.3049399725670097,15583.82603376736,0.027181217361865084,0.023444499954517955,0.17780668494537386,0.13028212405419912
단대동,성장 잠재 구역,40.3,0.3489323822922549,0.2548333598972623,0.760383474563508,346.65033929994536,179.99703077811375,0.329021601787319,0.9373967557439791,0.7026736755567927,4131.980305352315,2460.4657705694635,0.27663032245534397,13117.052869163184,0.02500547151616932,0.06554463870060967,0.06539518164293501,0.5207214128390915
신흥2동,관망 구역,39.14,0.35149708911517935,0.42282501918995613,0.4442396495280738,361.48805584659027,189.3172797870445,0.36015244933215995,0.9312364026142972,0.5524333110905594,4482.723251150568,2775.6418199290006,0.35774895298239606,18118.951894207294,0.017143297384400576,0.03794477087299701,0.039951451365236826,-0.03665853078754987
금광2동,성장 잠재 구역,34.49,0.37447588391121706,0.1935351357988449,0.4978713996980123,346.83369801627526,186.61186234258832,0.3864865124167997,0.9423449057562235,0.5671913649479199,3537.3592838587065,2441.501682919599,0.21785531024658572,13310.621102292007,0.027181217361865084,0.023444499954517955,-0.04686695125249805,0.08840675394060803
신흥3동,관망 구역,30.4,0.35149708911517935,0.12397180355838333,0.4551140509361725,361.48805584659027,189.3172797870445,0.36015244933215995,0.9312364026142972,0.5524333110905594,3350.2175450009154,2233.017273574452,0.19217325708177382,11740.838598452041,0.017143297384400576,0.03794477087299701,0.04447834830644294,0.0008209381545819848
하대원동,관망 구역,30.2,0.34942800251676037,0.21975520640603585,0.3068436887702648,345.09333784157076,184.5046604314702,0.3129244306182986,0.9454600349837032,0.7080249697324702,4021.7436734588086,2387.8953394918167,0.26045789336566255,12255.033037280857,0.01718784326648464,-0.027076942937425363,0.02469620287423209,0.021694214876033083
신흥1동,관망 구역,29.48,0.35149708911517935,0.11477983697309108,0.4233170384801712,361.48805584659027,189.3172797870445,0.36015244933215995,0.9312364026142972,0.5524333110905594,3290.7689291821375,2011.620173511861,0.18407202770226214,13050.117923191496,0.017143297384400576,0.03794477087299701,0.035546086566494745,-0.13226944913303654
은행2동,성장 잠재 구역,28.4,0.25380821312322815,0.17261018281346738,0.5264644679035947,311.85946142627563,169.80552681092874,0.2937700767602795,0.9314079696326095,0.7046468496871943,3346.9310281380103,2143.9438625156954,0.19016234563887255,15394.143136627548,0.014550979361304194,0.05691594410492602,0.07445566778900116,0.1147994212000862
성남동,관망 구역,27.4,0.30256851813019003,0.20104053963689544,0.31206056976754626,329.1012552592159,172.67025904088965,0.3492135097958984,0.9316661497924206,0.6181790084285199,3492.5292335103336,2336.0892891088997,0.22507606181294987,14483.840590109383,0.013480260354722964,0.033341290015285366,-0.006774702099469116,-0.1034785557211284
상대원1동,성장 잠재 구역,27.22,0.2132019671604174,0.1762887572573852,0.5634057486671687,310.9695066363386,153.62570962643744,0.31552689943142515,0.9147059997213988,0.6522231676575557,3797.6854454112176,2413.2706640607694,0.23213507230784033,10997.16176854279,0.019162012193053825,0.04904076708939073,0.06442174375161405,0.10358554433921623
은행1동,관망 구역,26.69,0.25380821312322815,0.2029057750898714,0.3955211736272966,311.85946142627563,169.80552681092874,0.2937700767602795,0.9314079696326095,0.7046468496871943,3311.8409357160645,2596.1833082760613,0.21883489225236952,13813.754101874594,0.014550979361304194,0.05691594410492602,-0.0014248128519627548,-0.25207873236547074
상대원2동,성장 잠재 구역,24.8,0.2132019671604174,0.0809795429619138,0.5856676880040572,310.9695066363386,153.62570962643744,0.31552689943142515,0.9147059997213988,0.6522231676575557,3396.88437766479,2309.5804612021334,0.19487731245680667,8319.644513007132,0.019162012193053825,0.04904076708939073,0.18891999569290405,-0.2242614707730987
복정동,관망 구역,22.48,0.21435420459007548,0.21045819605742017,0.2722491156376489,338.34316125392957,162.50392429740447,0.3518738209778221,0.8913468718159372,0.5028634395511942,3812.023551822421,2144.970730344872,0.2263699410109183,14932.673809044341,0.015242497336642619,0.012002425318140443,-0.02523963391403379,0.02450653652125316
상대원3동,관망 구역,22.36,0.2132019671604174,0.0898284513980602,0.4502480936663529,310.9695066363386,153.62570962643744,0.31552689943142515,0.9147059997213988,0.6522231676575557,3297.1195925749507,2294.1273830388436,0.1732239024302085,9889.912786271443,0.019162012193053825,0.04904076708939073,-0.011384185434818266,-0.12974140397047884
산성동,성장 잠재 구역,18.38,0.13158904313994152,0.06828219998049678,0.48749330871992846,295.64188332901335,146.84995223911707,0.285549907430247,0.8992560286839306,0.6317526823083657,3093.65446523753,2047.6653444943036,0.1833058440316204,10784.421086526007,0.03314664641550938,0.014689576120334724,-0.09879032258064513,-0.026678876678876768
양지동,관망 구역,16.08,0.20200532348699218,0.10180244992643049,0.1461491889187375,312.36804612731197,156.03080818379055,0.2644435189963903,0.9268926966962525,0.7075322966012423,3203.803311760683,2194.2948246911687,0.1994186667241136,11069.76592673044,0.0076014492606903275,0.013027098829588997,-0.022335619876192196,-0.016336039373020098
태평1동,관망 구역,15.18,0.1469076680590824,0.13662830907935278,0.18674931475453155,304.4335072720744,146.31000440582224,0.28357423951786626,0.8986901984657484,0.6571957474275241,3282.0939476619305,1948.2962071531151,0.1651631820746043,15289.40894143325,0.0061253695478695955,0.0030062074042756714,0.08159499263041022,-0.015859000127801306
수진2동,관망 구역,14.99,0.10435351658945494,0.17930000065977986,0.21970304693016882,306.7305995903728,134.6474992126677,0.27218576313203474,0.8799604866440678,0.6714554227215166,3531.161696619019,2083.1615293887003,0.2176746908616532,14790.753053243052,0.011302970997576552,-0.0009166957747087915,0.05030445128779396,-0.06475659288273172
태평3동,관망 구역,14.3,0.1469076680590824,0.18211426729367203,0.0747988945517025,304.4335072720744,146.31000440582224,0.28357423951786626,0.8986901984657484,0.6571957474275241,3430.4487110176115,2439.91089995736,0.23329304252618635,12707.789453698946,0.0061253695478695955,0.0030062074042756714,-0.024033005981984046,-0.07947395481859958
태평2동,관망 구역,14.27,0.1469076680590824,0.1728468137022449,0.08714769505400566,304.4335072720744,146.31000440582224,0.28357423951786626,0.8986901984657484,0.6571957474275241,3466.7482031039053,2181.982810338836,0.20182898988018508,14385.985567134094,0.0061253695478695955,0.0030062074042756714,-0.024689245181048453,-0.005265784357553603
수진1동,관망 구역,13.72,0.10435351658945494,0.1345495598182706,0.22311609683818748,306.7305995903728,134.6474992126677,0.27218576313203474,0.8799604866440678,0.6714554227215166,3160.3900471489064,1965.6892620715007,0.13488974925769517,16260.7467653282,0.011302970997576552,-0.0009166957747087915,0.06231925214579219,-0.11082896461336825
태평4동,관망 구역,11.67,0.1469076680590824,0.08780394759713273,0.08447944512039791,304.4335072720744,146.31000440582224,0.28357423951786626,0.8986901984657484,0.6571957474275241,3218.6339785196137,2069.1748892264204,0.17165352590465316,11595.78067808732,0.0061253695478695955,0.0030062074042756714,-0.06773983534946235,0.18608827795814056
