lot_id,lot_name,GU_NM,ADM_NM,candidate_rank,candidate_grade,candidate_score_for_ranking,candidate_score_primary,candidate_score_conservative,delivery_zone,demand_context_score,constraint_context_score,parking_site_score,zone_score,corporate_context_score,airspace_review_required,nb10_risk_note,nb10_candidate_reason
206-2-000011,수내역환승,분당구,수내1동,1,A,0.6927942247964373,0.6927942247964373,0.6927942247964373,부적합,0.6931962615634748,0.7646021329968842,0.8361,0.0,1.0,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-3-000001,분당구청 부설주차장,분당구,수내1동,2,A,0.692714495320228,0.692714495320228,0.692714495320228,부적합,0.702673820202877,0.8974146329968842,0.6897,0.0,1.0,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000020,백현동카페거리공영주차장,분당구,백현동,3,A,0.619737256724796,0.619737256724796,0.619737256724796,부적합,0.7137295429898525,0.8298915760427471,0.6185,0.0,0.1566804533532173,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000023,정자동공영주차장,분당구,정자동,4,A,0.601934006749266,0.601934006749266,0.601934006749266,부적합,0.6885471051086431,0.846394365225,0.5708,0.0,0.1328785730998173,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000007,정자역환승,분당구,정자1동,5,A,0.5983842900979778,0.5983842900979778,0.5983842900979778,부적합,0.5435932204205982,0.8842110776889434,0.5709,0.0,0.8869778705706505,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000015,판교공영,분당구,백현동,6,A,0.5970676893248231,0.5970676893248231,0.5970676893248231,부적합,0.5411287007325031,0.7019544856031449,0.8974,0.0,0.1566804533532173,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000014,서현 환승,분당구,서현1동,7,A,0.5854211705137332,0.5854211705137332,0.5854211705137332,부적합,0.5948571670334384,0.7434893001080974,0.7338,0.0,0.1579767405001072,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
205-2-000002,성남동 대형,중원구,성남동,8,A,0.5851675632566963,0.5851675632566963,0.5851675632566963,부적합,0.36676194982451804,0.8884454293117431,0.8841,0.0,0.27329046980358374,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-3-000001,성남시청 부설주차장,중원구,도촌동,9,A,0.5820955716792466,0.5820955716792466,0.5820955716792466,부적합,0.5045237185018632,0.8742371580960564,0.7449,0.0,0.014559613591608749,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000017,신흥 제7,수정구,수진1동,10,A,0.5626171724507998,0.5626171724507998,0.5626171724507998,부적합,0.5702186738240624,0.6871761732381944,0.7229,0.0,0.2104318660565858,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000028,수진 제2,중원구,성남동,11,A,0.5596379615859924,0.5596379615859924,0.5596379615859924,부적합,0.5526364082585064,0.6943027808213441,0.7159,0.0,0.27329046980358374,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000012,판교역환승,분당구,백현동,12,A,0.5584775489941217,0.5584775489941217,0.5584775489941217,부적합,0.5672209790547698,0.7770647346291657,0.6314,0.0,0.1566804533532173,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-3-000004,분당도서관 부설주차장,분당구,정자3동,13,A,0.5504167120158485,0.5504167120158485,0.5504167120158485,하이브리드,0.4099516477202899,0.7638826021787933,0.4602,1.0,0.01825969538097582,False,이상 없음,하이브리드 구역 — 추가 현장 검토 권장
206-2-000004,맛고을,분당구,야탑1동,14,A,0.5445641122485358,0.5445641122485358,0.5445641122485358,부적합,0.5203713738534759,0.6839141859658753,0.5923,0.0,0.8676116981670075,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
205-2-000001,대원천,중원구,성남동,15,A,0.5440175632566963,0.5440175632566963,0.5440175632566963,부적합,0.36676194982451804,0.8884454293117431,0.7195,0.0,0.27329046980358374,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
206-2-000003,야탑 제2환승,분당구,야탑1동,16,A,0.5423413994669553,0.5423413994669553,0.5423413994669553,부적합,0.5386646408313799,0.7254127610704878,0.5163,0.0,0.8676116981670075,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000006,정자전원마을,분당구,정자3동,17,A,0.5349967925288658,0.5349967925288658,0.5349967925288658,드론우선,0.3161586272957302,0.6930131528252459,0.6607,0.85,0.01825969538097582,False,이상 없음,드론우선 구역 — 추가 현장 검토 권장
204-2-000029,수진 제3,수정구,수진2동,18,A,0.5316089751023593,0.5316089751023593,0.5316089751023593,부적합,0.5263681490852996,0.6914817704770899,0.6741,0.0,0.11969360606464009,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
205-2-000003,성남동 제1,중원구,성남동,19,A,0.5291680410186138,0.5291680410186138,0.5291680410186138,부적합,0.4527959972187402,0.5717996740075022,0.8563,0.0,0.27329046980358374,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-3-000006,판교어린이도서관,분당구,백현동,20,A,0.5274467501579166,0.5274467501579166,0.5274467501579166,부적합,0.6455922973291532,0.7806216937002084,0.394,0.0,0.1566804533532173,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
204-2-000027,수진 제1,수정구,수진2동,21,A,0.5270966897490235,0.5270966897490235,0.5270966897490235,부적합,0.5372616195043399,0.6914817704770899,0.6408,0.0,0.11969360606464009,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000002,야탑 제1환승,분당구,야탑1동,22,A,0.5225950878557512,0.5225950878557512,0.5225950878557512,부적합,0.5367451024550843,0.6544148683524849,0.511,0.0,0.8676116981670075,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
205-2-000004,성남동 제2,중원구,성남동,23,A,0.5210430623643721,0.5210430623643721,0.5210430623643721,부적합,0.4481191375610121,0.6528473629113548,0.7493,0.0,0.27329046980358374,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000011,복정 제4공영,수정구,복정동,24,A,0.5196366850301597,0.5196366850301597,0.5196366850301597,부적합,0.3122799810754636,0.874105636760976,0.7472,0.0,0.1002456492700706,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-2-000033,모란제2공영주차장,중원구,성남동,25,A,0.5195195555932315,0.5195195555932315,0.5195195555932315,부적합,0.4343362314807162,0.7749494043392063,0.6404,0.0,0.27329046980358374,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000034,신흥제9공영주차장,수정구,신흥1동,26,A,0.5166860834125706,0.5166860834125706,0.5166860834125706,부적합,0.582753417286642,0.5974770675227508,0.6301,0.0,0.11656240963116479,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000019,태평,수정구,태평3동,27,A,0.5161207077131108,0.5161207077131108,0.5161207077131108,부적합,0.4880193628977473,0.6834359992744287,0.6761,0.0,0.10859861760584144,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
205-2-000035,여수동제2공영주차장,중원구,도촌동,28,A,0.5156370538253382,0.5156370538253382,0.5156370538253382,부적합,0.4813861929712683,0.7416956224232553,0.644,0.0,0.014559613591608749,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000022,태평4동제3,수정구,태평4동,29,A,0.5128234950358681,0.5128234950358681,0.5128234950358681,부적합,0.5150910837418807,0.6876038331468356,0.6345,0.0,0.04031314879001912,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000008,오리환승,분당구,구미동,30,A,0.5104921780851578,0.5104921780851578,0.5104921780851578,드론우선,0.22195578104918426,0.8396455818033494,0.5219,0.85,0.14842518534211996,False,수요권역 낮음,드론우선 구역 — 추가 현장 검토 권장
206-2-000005,점골,분당구,서현2동,31,A,0.5089155654429073,0.5089155654429073,0.5089155654429073,부적합,0.4848975903900758,0.6450103770256634,0.689,0.0,0.1139762909992971,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
205-2-000030,모란공영,수정구,신흥2동,32,A,0.5081461094835418,0.5081461094835418,0.5081461094835418,부적합,0.4680274153777122,0.5590083453097657,0.8039,0.0,0.07218855547802057,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000039,신흥제10공영(기계식)주차장,수정구,신흥3동,33,A,0.5044402036849123,0.5044402036849123,0.5044402036849123,부적합,0.4946059517027661,0.6289343156001631,0.6527,0.0,0.21839083377806898,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000021,태평2동 제1,수정구,태평2동,34,A,0.5038798657744005,0.5038798657744005,0.5038798657744005,부적합,0.5303379644180207,0.5907426270729111,0.6597,0.0,0.11301842919730985,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000042,희망대제1공영주차장,수정구,신흥3동,35,A,0.5029739602347965,0.5029739602347965,0.5029739602347965,부적합,0.5081694323270469,0.5205804689257065,0.7362,0.0,0.21839083377806898,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000009,금곡동,분당구,금곡동,36,B,0.5019744501746771,0.5019744501746771,0.5019744501746771,드론우선,0.4094333555942009,0.663211892562198,0.4165,0.85,0.07489605152314473,False,이상 없음,드론우선 구역 — 추가 현장 검토 권장
205-2-000028,해오름,중원구,금광1동,37,B,0.50108698176877,0.50108698176877,0.50108698176877,부적합,0.35531290315127495,0.5879871898772845,0.9101,0.0,0.04411336393005158,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-2-000032,하대원동임시공영주차장,중원구,하대원동,38,B,0.49893932405789265,0.49893932405789265,0.49893932405789265,부적합,0.44601274186385004,0.721972394503018,0.6343,0.0,0.07533531559581219,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000018,태평4동 제1,수정구,신흥2동,39,B,0.49642446565740844,0.49642446565740844,0.49642446565740844,부적합,0.5197855908319473,0.5780603243693035,0.6655,0.0,0.07218855547802057,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000030,수진동 제4,수정구,수진2동,40,B,0.49313913140334625,0.49313913140334625,0.49313913140334625,부적합,0.46458931254215613,0.6937927668414382,0.6044,0.0,0.11969360606464009,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000012,복정 제5공영,수정구,복정동,41,B,0.49213507005113716,0.49213507005113716,0.49213507005113716,부적합,0.23396978766646687,0.886033447617481,0.7349,0.0,0.1002456492700706,False,수요권역 낮음,"종합 점수 낮음, 추가 검토 필요"
204-2-000035,신흥2동제1공영주차장,수정구,신흥2동,42,B,0.4915300891101113,0.4915300891101113,0.4915300891101113,부적합,0.4739816428821968,0.5590083453097657,0.7291,0.0,0.07218855547802057,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000014,신흥 제1,수정구,신흥1동,43,B,0.487483194010996,0.487483194010996,0.487483194010996,부적합,0.5814627099785146,0.5987725001478306,0.5138,0.0,0.11656240963116479,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000031,번성,수정구,수진2동,44,B,0.4872897287263061,0.4872897287263061,0.4872897287263061,부적합,0.47227630172031376,0.6742333712838574,0.5898,0.0,0.11969360606464009,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000001,논골공영,수정구,단대동,45,B,0.4870890144315913,0.4870890144315913,0.4870890144315913,부적합,0.36821690841696053,0.7138792389850815,0.7116,0.0,0.03686573478769389,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
204-2-000023,아래숯골,수정구,태평1동,46,B,0.48626127655451407,0.48626127655451407,0.48626127655451407,부적합,0.39795777129260457,0.7369470498866691,0.6393,0.0,0.05828588260870389,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
206-3-000007,구미도서관,분당구,구미1동,47,B,0.4857914396546643,0.4857914396546643,0.4857914396546643,드론우선,0.31176585646639443,0.7374805587548745,0.3925,0.85,0.18356500405415213,False,주차 후보 점수 낮음,드론우선 구역 — 추가 현장 검토 권장
205-2-000005,대원지하,중원구,상대원2동,48,B,0.48577177887343376,0.48577177887343376,0.48577177887343376,부적합,0.36064259649877106,0.6350605513834038,0.7228,0.0,0.4016346450602594,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-2-000034,여수동제1공영주차장,중원구,도촌동,49,B,0.4842612642789098,0.4842612642789098,0.4842612642789098,부적합,0.5149458550327242,0.6980089373515035,0.5152,0.0,0.014559613591608749,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000025,건우,수정구,복정동,50,B,0.4805159649965502,0.4805159649965502,0.4805159649965502,부적합,0.41414585571774853,0.6452105321273385,0.677,0.0,0.1002456492700706,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000043,희망대제2공영주차장,수정구,신흥2동,51,B,0.48021425357735725,0.48021425357735725,0.48021425357735725,부적합,0.454965801290549,0.5457671814070562,0.7237,0.0,0.07218855547802057,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000013,수정,수정구,신흥2동,52,B,0.47806346665205135,0.47806346665205135,0.47806346665205135,부적합,0.46967589169406404,0.5762699071409116,0.664,0.0,0.07218855547802057,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
205-2-000011,금광2동 제1,중원구,금광2동,53,B,0.47703918858319666,0.47703918858319666,0.47703918858319666,부적합,0.34077726409119,0.6798733107531736,0.7371,0.0,0.0704763692597366,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-2-000027,중앙동 제4,중원구,중앙동,54,B,0.4745673566655884,0.4745673566655884,0.4745673566655884,부적합,0.39191404303787947,0.587731303543691,0.7562,0.0,0.02829231432815784,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
206-2-000022,운중동공영주차장,분당구,운중동,55,B,0.4745467533179886,0.4745467533179886,0.4745467533179886,부적합,0.3753328883141803,0.7284852807746846,0.6435,0.0,0.003678444287088193,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
204-2-000010,복정 제3공영,수정구,복정동,56,B,0.4738290854620018,0.4738290854620018,0.4738290854620018,부적합,0.17999120825467269,0.8791795204374512,0.7441,0.0,0.1002456492700706,False,수요권역 낮음,"종합 점수 낮음, 추가 검토 필요"
206-3-000003,서현도서관 부설주차장,분당구,서현1동,57,B,0.4715179643948821,0.4715179643948821,0.4715179643948821,부적합,0.4773651275324681,0.6959653309340517,0.4902,0.0,0.1579767405001072,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
206-2-000024,판교동임시공영주차장,분당구,판교동,58,B,0.47043441667908353,0.47043441667908353,0.47043441667908353,부적합,0.41129514545453794,0.6711853930226273,0.6293,0.0,0.027195350286769077,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000006,산성동 제1,수정구,산성동,59,B,0.46965059124753067,0.46965059124753067,0.46965059124753067,부적합,0.4122496325472612,0.6358058649187129,0.6647,0.0,0.0047350725262214335,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000041,태평공원공영주차장,수정구,태평1동,60,B,0.4680463029616684,0.4680463029616684,0.4680463029616684,부적합,0.3250716046285715,0.7510277888449328,0.6544,0.0,0.05828588260870389,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
206-2-000019,판교제2공영주차장,분당구,판교동,61,B,0.4645771582780322,0.4645771582780322,0.4645771582780322,부적합,0.4344886928801054,0.6711853930226273,0.5734,0.0,0.027195350286769077,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-1-000004,수상9-10,중원구,성남동,62,B,0.4623076462177581,0.4623076462177581,0.4623076462177581,부적합,0.5710268070638803,0.7045349610208832,0.2906,0.0,0.27329046980358374,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
205-1-000033,중상12,중원구,성남동,63,B,0.45991985799053503,0.45991985799053503,0.45991985799053503,부적합,0.5304902692718142,0.7045349610208832,0.3378,0.0,0.27329046980358374,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
205-3-000002,중원구청 부설주차장,중원구,성남동,64,B,0.4571025811573822,0.4571025811573822,0.4571025811573822,부적합,0.4667437093060809,0.6998110376402987,0.4205,0.0,0.27329046980358374,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
205-1-000028,중상3,중원구,성남동,65,B,0.45655988337069764,0.45655988337069764,0.45655988337069764,부적합,0.5236966159517428,0.7189061771896338,0.3195,0.0,0.27329046980358374,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
206-3-000002,도서관사업소,분당구,야탑3동,66,B,0.45497527795070797,0.45497527795070797,0.45497527795070797,부적합,0.3767203688739317,0.7017943493605179,0.5697,0.0,0.10499123009404757,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-2-000014,은행동 제5,중원구,은행1동,67,B,0.45469698664754243,0.45469698664754243,0.45469698664754243,부적합,0.2970725894720814,0.6058015717961803,0.7897,0.0,0.036923747665378856,False,수요권역 낮음,"종합 점수 낮음, 추가 검토 필요"
204-2-000003,희망로,수정구,단대동,68,B,0.4538583198286968,0.4538583198286968,0.4538583198286968,부적합,0.3602772815930485,0.6284719381269804,0.6752,0.0,0.03686573478769389,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-1-000031,중상10,수정구,수진1동,69,B,0.45360175372297495,0.45360175372297495,0.45360175372297495,부적합,0.5381254010526024,0.6682450802069392,0.3507,0.0,0.2104318660565858,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
204-2-000016,신흥 3동,중원구,중앙동,70,B,0.45332080627407767,0.45332080627407767,0.45332080627407767,부적합,0.45532881989762264,0.5925644143740078,0.5776,0.0,0.02829231432815784,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000007,단대 공원,수정구,단대동,71,B,0.45239765771410667,0.45239765771410667,0.45239765771410667,부적합,0.34585674920149323,0.6129180350167975,0.7051,0.0,0.03686573478769389,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
204-2-000009,산성역 환승,수정구,산성동,72,B,0.4521406262036063,0.4521406262036063,0.4521406262036063,부적합,0.35736708935141603,0.5972015652171982,0.7101,0.0,0.0047350725262214335,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
204-2-000004,양지 제1,수정구,단대동,73,B,0.4519809498774281,0.4519809498774281,0.4519809498774281,부적합,0.3151417490732051,0.6152522038496864,0.7441,0.0,0.03686573478769389,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-2-000024,중앙동 제1,중원구,중앙동,74,B,0.4515261514793528,0.4515261514793528,0.4515261514793528,부적합,0.3923262010553106,0.5908894615743451,0.6603,0.0,0.02829231432815784,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-1-000032,중상11,수정구,수진1동,75,B,0.45149611202981743,0.45149611202981743,0.45149611202981743,부적합,0.5268235676435811,0.6682450802069392,0.3581,0.0,0.2104318660565858,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
205-1-000061,중상51-53,중원구,성남동,76,B,0.4497636078440419,0.4497636078440419,0.4497636078440419,부적합,0.4231912094029336,0.7530286442513437,0.3989,0.0,0.27329046980358374,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
204-1-000005,수상11,수정구,수진1동,77,B,0.4489163544404781,0.4489163544404781,0.4489163544404781,부적합,0.5388814031026115,0.6682450802069392,0.3309,0.0,0.2104318660565858,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
205-2-000006,상대원 제4,중원구,상대원1동,78,B,0.4477921646142631,0.4477921646142631,0.4477921646142631,부적합,0.261381269737999,0.5865050950154109,0.7759,0.0,0.3141489290422145,False,수요권역 낮음,"종합 점수 낮음, 추가 검토 필요"
205-2-000025,중앙동 제2,중원구,중앙동,79,B,0.44744552249599323,0.44744552249599323,0.44744552249599323,부적합,0.36510186690966107,0.5820810134448158,0.6909,0.0,0.02829231432815784,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
204-2-000024,태평4동,수정구,태평4동,80,B,0.4471249834574532,0.4471249834574532,0.4471249834574532,부적합,0.41737375415219513,0.5660140482587359,0.6301,0.0,0.04031314879001912,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000020,태평동 제1,수정구,태평1동,81,B,0.44644239484837456,0.44644239484837456,0.44644239484837456,부적합,0.3966428555315728,0.5722124051275558,0.6466,0.0,0.05828588260870389,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
205-1-000029,중상6-7,수정구,수진1동,82,B,0.4461558840083715,0.4461558840083715,0.4461558840083715,부적합,0.4978477545734098,0.6636503064193952,0.3819,0.0,0.2104318660565858,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
205-1-000030,중상8-9,수정구,수진1동,83,B,0.4446803514992219,0.4446803514992219,0.4446803514992219,부적합,0.48334623311869673,0.6636503064193952,0.3963,0.0,0.2104318660565858,False,주차 후보 점수 낮음,수요는 있으나 제약/공역 리스크 있음
205-2-000031,중앙동제6,중원구,중앙동,84,B,0.4443512779576564,0.4443512779576564,0.4443512779576564,부적합,0.4657017768231836,0.4709641614125369,0.6488,0.0,0.02829231432815784,False,이상 없음,수요는 있으나 제약/공역 리스크 있음
204-2-000008,산성동 제2,수정구,산성동,85,B,0.44394581688785023,0.44394581688785023,0.44394581688785023,부적합,0.34758061295195664,0.5890233949134173,0.6992,0.0,0.0047350725262214335,False,이상 없음,"종합 점수 낮음, 추가 검토 필요"
204-2-000026,태평동 탄천변,수정구,태평1동,86,B,0.4423798892500256,0.4423798892500256,0.4423798892500256,부적합,0.2528924278842906,0.7613129814403549,0.6425,0.0,0.05828588260870389,False,수요권역 낮음,"종합 점수 낮음, 추가 검토 필요"
